No DE LIBRO,TITULO DEL LIBRO (MEMORIA INSTITUCIONAL. MI),AUTOR,AÑO
826,Plan Maestro de Acueducto y Alcantarillado de la cabecera municipal de Los Córdobas y sus estudios y diseños detallados y diseños de acueductos veredales que se asocian al acueducto municipal.  Tomo XIV.  ,CVS/ Consorcio G&G,"2,007"
828,"Capacitación y sensibilización sobre la importancia del manejo de los residuos sólidos y montaje de una empresa de reciclaje para un desarrollo ambiental sostenible en el municipio de Sahagún, departamento de Córdoba ",CVS/ Catalina Figueroa Muñoz,"2,007"
829,Uso de abonos y fertilizantes orgánicos para la recuperación de los suelos y fincas ganaderas de Montería,CVS/ Universidad de Córdoba/ GANACOR,"2,007"
830,Seguimiento y acompañamiento para obtención de registro INVIMA del proyecto La Apicultura Como Proceso Alternativo de Producción Más Limpia en el departamento de Córdoba,CVS/ Universidad de Córdoba,"2,007"
831,"Implementación de la tecnología de producción de hongos comestibles y medicinales en desechos agroindustriales, en dos comunidades rurales y urbanas del departamento de Córdoba como apoyo socioeconómico familiar",CVS/ Universidad de Córdoba,"2,007"
832,Reglamentación del Río San Jorge,"CVS/ Universidad Nacional de Colombia, Medellín.","2,007"
833,Apoyo al fortalecimiento de la Educación Ambiental en el departamento de Córdoba,CVS/ Ministerio de Educación Nacional/ Secretaria Ejecutiva Convenio Andrés Bello - SECAB,"2,007"
834,"Caracterización Poblacional del Cacó (Hydrochoerus hidrochaeris istmus) en la Ciénaga de Ayapel para su fomento, conservación y uso sostenible por comunidades rurales",CVS/ Universidad de Córdoba,"2,007"
835,"Formulación de la Agenda Ambiental del Municipio de Puerto Libertador y su articulación con los demás Instrumentos de Planificación local, Departamental y Nacional Departamento de Córdoba",CVS/ Fundación Santa Isabel,"2,007"
836,"Formulación de la Agenda Ambiental del Municipio de San Pelayo y su articulación con los demás Instrumentos de Planificación local, Departamental y Nacional Departamento de Córdoba",CVS/ Fundación Santa Isabel,"2,007"
837,"Elaboración de los Estudios de Relleno Sanitario para la Región conformada por los Municipios de Los Córdobas, Puerto Escondido y Canalete en el Departamento de Córdoba",CVS/ Unión Temporal Ambiental Consultores,"2,007"
838,"Elaboración de los Estudios de Relleno Sanitario para la Región conformada por los Municipios de Los Córdobas, Puerto Escondido y Canalete en el Departamento de Córdoba - Planos",CVS/ Unión Temporal Ambiental Consultores,"2,007"
839,"Actualización Catastral de Municipio de Montería, zona Urbana",CVS/Instituto Geográfico Agustín Codazzi,"2,007"
840,Informe final de actividades Arboreto - Herboreto.  Centro de conservación y biodiversidad del Alto Sinú,CVS/ Fundación Biozoo,"2,007"
841,"Diagnóstico Ambiental de las cuencas de los ríos Los Córdobas, Mangle y Cedro, Quebrada Yuca y Broqueles yáreas de escorrentía directa al mar, en el departamento de Córdoba.Capítulos 1,2,3 y 4.  POMCA COSTANERA",CVS/ FONADE,"2,006"
842,"Diagnóstico Ambiental de las cuencas de los ríos Los Córdobas, Mangle y Cedro, Quebrada Yuca y Broqueles y áreas de escorrentía directa al mar, en el departamento de Córdoba.Capítulos 5,6,7,8,9,10,11POMCA COSTANERA",CVS/ FONADE,"2,006"
843,"Plan de Ordenamiento y manejo de las cuencas   de los ríos Los Córdobas, Mangle y Cedro, Quebrada Yuca y Broqueles y áreas de escorrentía directa al mar, en el departamento de Córdoba. POMCA COSTANERA",CVS/ FONADE,"2,006"
844,Evaluación agronómica de la enea y fortalecimiento de la cadena productiva para su uso y aprovechamiento en el departamento de Córdoba,CVS/ Universidad de Córdoba/ Acción Social de la Presidencia de la República,"2,007"
845,Lineamientos del Plan Estratégico de Educación Ambiental de Córdoba 2019,CVS/ Ministerio de Educación Nacional/ Secretaria Ejecutiva Convenio Andrés Bello - SECAB,"2,007"
846,Hacia la construcción del Plan Municipal de Educación Ambiental. PMDEA -  Cereté,CVS/ Ministerio de Educación Nacional/ Secretaria Ejecutiva Convenio Andrés Bello - SECAB,"2,007"
847,Hacia la construcción del Plan Municipal de Educación Ambiental. PMDEA -  Cienaga de Oro,CVS/ Ministerio de Educación Nacional/ Secretaria Ejecutiva Convenio Andrés Bello - SECAB,"2,007"
848,Hacia la construcción del Plan Municipal de Educación Ambiental. PMDEA - Montería,CVS/ Ministerio de Educación Nacional/ Secretaria Ejecutiva Convenio Andrés Bello - SECAB,"2,007"
849,Hacia la construcción del Plan Municipal de Educación Ambiental. PMDEA - San Carlos,CVS/ Ministerio de Educación Nacional/ Secretaria Ejecutiva Convenio Andrés Bello - SECAB,"2,007"
850,Hacia la construcción del Plan Municipal de Educación Ambiental. PMDEA - Tierralta,CVS/ Ministerio de Educación Nacional/ Secretaria Ejecutiva Convenio Andrés Bello - SECAB,"2,007"
851,Hacia la construcción del Plan Municipal de Educación Ambiental. PMDEA - Valencia,CVS/ Ministerio de Educación Nacional/ Secretaria Ejecutiva Convenio Andrés Bello - SECAB,"2,007"
852,Actualización Catastral Municipio de Buenavista - Zona Rural,CVS/IGAC,"2,007"
853,Plan de Manejo del Cultivo Experimental de Guartinaja (Agouti paca) en Cautiverio localidad de Pasacaballo  Municipio de Tierralta,Fundación Biozoo/CVS,"2,008"
854,"Metodología para la Elaboración y Puesta en Marcha del Plan de Prevención y Atención de Desastres Plan Municipal de Emergencia Informe final Convenio 15 de 2007.  Municipios de Cotorra, Chimá, Purísima y Moñitos. (emergencia)",CVS/Universidad EAFIT COV.015,"2,007"
855,PAT  2007-2009,CVS,"2,007"
856,Informe de Gestión 2007,CVS,"2,007"
857,Programa de Educación Ambiental Mejorando Nuestro Medio Ambiente Rural (Convenio Nº. 37),CVS/Fundación Santa Isabel,"2,008"
858,"Propuesta para realizar un proceso de capacitación en la temática de Atención y Prevención de Riesgos, para el Fortalecimiento de los Comités Locales para la Prevención y Atención de Desastres, a través de Talleres Teórico-Prácticos con el fin de dar  herramientas para la formulación y puesta en marcha de los Planes Locales de Emergencias de los Municipios de Buenavista, Planeta Rica y San Andrés de Sotavento.",CVS/Universidad EAFIT,"2,008"
859,Producción mas limpia en la industria del d/to de Cordoba conveniode cooperación No 12de 2007,Producción mas limpia en la industria del d/to de Cordoba conveniode cooperación No 12de 2007,"2,008"
860,Producción mas limpia en la industria del d/to de Cordoba conveniode cooperación No 12de 2007,Producción mas limpia en la industria del d/to de Cordoba conveniode cooperación No 12de 2007,"2,008"
861,Producción mas limpia en la industria del d/to de Cordoba conveniode cooperación No 12de 2007,Producción mas limpia en la industria del d/to de Cordoba conveniode cooperación No 12de 2007,"2,008"
862,"Aspectos biologicos y ecológicos del cangrejo azul (cardisoma guanhumi,latrelli 1825)en la bahía de Cispatá",CVS/U Jorge Tadeo Lozano,"2,008"
863,bioecología y algunos aspectos pesqueros de los Mugílidos de la Bahía de Cispatá,"Angie M Santafé Muñoz/ u,de Bogota Jorge Tadeo Lozano","2,008"
864,"Contrubución a la Biología yEcología de Chipi Chipi(Donax denticulatus, Dstríatus y Anomalocardia brasiliana) En la Bahía de Cispatá",Carmen Lucia Noriega Hoyos/ u. Jorge Tadeo Lozano,"2,008"
865,"Fortalecimiento empresarial de las comunidades de Cispatá la Balsa y Tinajones,ordenamiento de los Manglares de Cordoba",CVS/FONADE,"2,008"
866,"Zonificación de amenazas naturales en los cascos urbanos de los municipios de Planeta Rica,Chinú,Pueblo Nuevo, Montelibano, San Andres de Sotavento y Chima en el D/to de Cordoba",CVS/UNIVERSIDAD DEL SINU,"2,008"
867,"Zonificación de amenazas naturales en los cascos urbanos de los municipios de Planeta Rica,Chinú,Pueblo Nuevo, Montelibano, San Andres de Sotavento y Chima en el D/to de Cordoba",PLANOS CONVENIO No 41,"2,007"
868,"Convenio de cooperación técnica No049 para la supervisión de las obras de la segunda Urgencia manifiesta según resolución No 1,1540",CVS/ UNIVERSIDAD DEL NORTE,"2,008"
"1,145",MONITOREO DE LA EROSIÓN DE LOS ENTES TERRITORIALES DE LA  UAC DEL D/ PTO DE CORDOBA,CONVENIO #25--2012 INVEMAR -- CVS,"2,013"
870,Propuesta para  la redelimitación de la zona de reserva forestal  del pasifico en jurisdición de la cvs,CONVENIO # 026 DE 2007 CVS/CONIF,"2,008"
871,Plan general de ordenación forestal del D/pto de Cordoda 1 fase,CONVENIO No 027 CVS/CONIF,"2,008"
872,Plan general de ordenación forestal del D/pto de Cordoda 1 fase,CONVENIO No 027 CVS/CONIF,"2,008"
873,Estudio y diseños de obras para el control de erosión e inundaciones en el departamento de cordoba,Convenio # 44 cvs universidad del sinú,"2,008"
874,"Estudio y diseños de obras para el control de erosión en diez sectores sobre el río sinú, en el departamento de cordoba",Convenio # 44 cvs universidad del sinú,"2,008"
875,Centro de atención y valorización de fauna Silvestre-cvs convenio No 07-2007,"UNIVERSIDAD DE CORDOBA-CVS
  CONVENIO No. 07","2,008"
876,Diseño de sistema de alertas tempranas por inundaciones en la cueca del río San Jorge,CONVENIO No 40 informe final,"2,008"
877,Diseño de sistema de alertas tempranas por inundaciones en la cueca del río San Jorge,CONVENIO No 40 TOMO 2,"2,008"
878,Diseño de sistema de alertas tempranas por inundaciones en la cueca del río San Jorge,CONVENIO No 40 TOMO 3,"2,008"
879,Diseño de sistema de alertas tempranas por inundaciones en la cueca del río San Jorge,CONVENIO No 40 TOMO 4,"2,008"
880,Informe tecnico y academico final de la ejecución del convenio de cooperación e insterinstitucional No 97 informe final,CONVENIO N0. 097 CVS/U DEL SINU,"2,008"
881,Extraccion de aceites esenciales apartir de plantas aromaticas. Medicinales y hongos macroscopicos,CONVENIO No 78 FUNDACI BIOZOO,"2,008"
882,Campaña de prevención de las quemas abiertas Urbanas y Rurales de incendios forestales en el D/to de Cordoba,CUERPO DE BOMBEROS-MONTE,"2,008"
883,Apoyo a iniciativas productivas de mercados verdes en la jurisdición de la CVS,CNPMTA,"2,007"
884,Determinantes ambientales para la reglamentación de los usos y las densidades maximas del suelo rural,CONVENIO CVS  U/ DEL SINU,"2,008"
885,Determinantes ambientales para la reglamentación de los usos y las densidades maximas del suelo rural .Anexos,CONVENIO CVS U/DEL SINU ,"2,008"
886,Estrategia de conservación para las especies de psitacidos,CVS/FUNDACIÓN PROAVES,"2,008"
887,"Plan de manejo y gestión ambiental de los humedales de Corralito,Martinica, Ciénagas Pantano Grande y P.Largo",CVS/CONSERVACIÓN INTERNACION,"2,008"
888,"Plan de manejo y gestión ambiental de los humedales de Corralito,Martinica, Ciénagas Pantano Grande y P.Largo Cuenca Hidrografica de la Caimanera",CVS/CONSERVACIÓN INTERNACION,"2,008"
889,Estudio topografico hidráulico ciénaga de Martinica,CVS/CONSERVACION INTERNACIONAL,"2,008"
890,Informe final Estudio topografico Cienaga Corralito,CONSERVACIÓN INTERNACIONAL,"2,008"
891,"Plan de manejo y gestión ambiental de los humedales de Corralito,Martinica, Ciénagas Pantano Grande y P.Largo Cuenca Hidrografica de la Caimanera-Iinventario Hidráulico",CVS/CONSERVACIÓN INTERNACION,"2,008"
892,"Plan de manejo y gestión ambiental de los humedales de Corralito,Martinica, Ciénagas Pantano Grande y P.Largo Inventario Hidráuliuco Informe final",CVS/CONSERVACIÓN INTERNACION,"2,008"
894,"Plan de manejo y gestión ambiental de los humedales de Corralito,Martinica, Ciénagas Pantano Grande y P.Largo Inventario Hidráuliuco Ciénaga Corralito",CVS/CONSERVACIÓN INTERNACION,"2,008"
895,"Plan de manejo y gestión ambiental de los humedales de Corralito,Martinica, Ciénagas Pantano Grande y P.Largo  Libro 1 Caracterización y Diagnóstico",CVS/CONSERVACIÓN INTERNACION,"2,008"
896,"Plan de manejo y gestión ambiental de los humedales de Corralito,Martinica, Ciénagas Pantano Grande y P.Largo Cuenca Hidrografica de la Caimanera-Iinventario Hidráulico",CVS/CONSERVACIÓN INTERNACION,"2,008"
897,"Plan de manejo y gestión ambiental de los humedales de Corralito,Martinica, Ciénagas Pantano Grande y P.Largo  Libro 3 Corralito",CVS/CONSERVACIÓN INTERNACION,"2,008"
898,"Plan de manejo y gestión ambiental de los humedales de Corralito,Martinica, Ciénagas Pantano Grande y P.Largo  Libro 4 Pantano Grande",CVS/CONSERVACIÓN INTERNACION,"2,008"
899,"Plan de manejo y gestión ambiental de los humedales de Corralito,Martinica, Ciénagas Pantano Grande y P.Largo  Libro 5 Pantano largo",CVS/CONSERVACIÓN INTERNACION,"2,008"
900,Evaluación Expost del proyecto Construcción de Cultura Ambiental desde las Escuelas ycomunidades Cordobesas,CVS/ UNIVERSIDAD SEL SINU,"2,008"
901,Estudio Piloto de vulnerabilidad de las viviendas y edificaciones por mal estado de sus viviendas-Informe final,CVS/UNIVERSIDAD PONTIFICIA Bolivariana 2008,"2,008"
902,Plan de ordenamiento y manejo integral de la cuenca hidrografica del rio Canalete-POMIC,CVS/UNIVERSIDAD PONTIFICIA Bolivariana 2008,"2,008"
903,Tratamientos de residuos Organicos animales producidos durante la 48 Feria  Ganadera de Montería,FEDERACION GANADERA DE CORDOBA,"2,008"
904,Plan de Manejo Yordenamiento Ambiental del Complejo Cenagoso del Bajo Sinú,UNIVERSIDAD NACIONAL -CVS,"2,008"
905,"Evaluación y análisis de los aspectos ambientales de los planes de Ordenamiento territorial de los Municipios de Moñitos,PuertoEscondido,LosCórdobas y Canalete",UNIVERSIDAD EAFIT,"2,008"
906,"Evaluación y análisis de los aspectos ambientales de los planes de Ordenamiento territorial de los Municipios de Moñitos,PuertoEscondido,LosCórdobas y Canalete Documento técnico Municipio de los Córdoba",UNIVERSIDAD EAFIT,"2,008"
